t,x,y,z
3.930118130E-1,-1.740914769E-2,-4.978405312E-2,2.351761982E-2
3.953885320E-1,-1.374406368E-2,-5.451811850E-2,2.229592577E-2
3.977653030E-1,-1.252236869E-2,-5.818320066E-2,2.229592577E-2
4.001420210E-1,-1.252236869E-2,-5.940489471E-2,2.107422985E-2
4.025187400E-1,-7.482878864E-3,-5.818320066E-2,1.985253580E-2
4.048954590E-1,-8.704573847E-3,-5.940489471E-2,1.863084175E-2
4.072721780E-1,-7.482878864E-3,-6.413896382E-2,1.863084175E-2
4.096488960E-1,-7.482878864E-3,-6.780404598E-2,1.863084175E-2
4.120256150E-1,-8.704573847E-3,-7.498150319E-2,1.725643501E-2
4.144023340E-1,-8.704573847E-3,-8.338065445E-2,1.481304597E-2
4.167791050E-1,-7.482878864E-3,-8.933641016E-2,1.466033421E-2
4.191558230E-1,-8.857285604E-3,-9.529217333E-2,1.099525020E-2
4.215325420E-1,-1.130067464E-2,-9.895725548E-2,1.206423342E-2
4.239092610E-1,-8.857285604E-3,-1.001789495E-1,1.221694518E-2
4.262859800E-1,-6.261184346E-3,-9.895725548E-2,1.221694518E-2
4.286626980E-1,-5.039489828E-3,-9.529217333E-2,1.099525020E-2
4.310394170E-1,-2.596100792E-3,-8.933641016E-2,1.236965694E-2
4.334161360E-1,2.443389036E-3,-8.582404256E-2,1.863084175E-2
4.357928550E-1,6.261184346E-3,-8.215895295E-2,1.863084175E-2
4.381695730E-1,9.926267900E-3,-8.093725890E-2,2.122694254E-2
4.405463440E-1,1.374406368E-2,-7.971556485E-2,1.878355257E-2
4.429230630E-1,1.985253580E-2,-7.864658535E-2,1.771457121E-2
4.452997820E-1,2.489202656E-2,-7.498150319E-2,1.542389300E-2
4.476765000E-1,3.237490356E-2,-7.024743408E-2,1.068982668E-2
4.500532190E-1,3.619270027E-2,-6.413896382E-2,7.177455351E-3
4.524299380E-1,3.741439432E-2,-5.451811850E-2,2.290677279E-3
4.548066570E-1,3.619270027E-2,-4.856235534E-2,-1.374406274E-3
4.571833750E-1,3.252761811E-2,-4.856235534E-2,-5.039489828E-3
4.595601460E-1,2.870982140E-2,-5.573981255E-2,-7.635590620E-3
4.619368650E-1,2.504473738E-2,-6.413896382E-2,-1.145338640E-2
4.643135840E-1,2.367033064E-2,-7.498150319E-2,-1.527118124E-2
4.666903030E-1,2.122694254E-2,-8.215895295E-2,-1.664558798E-2
4.690670210E-1,2.122694254E-2,-8.811471611E-2,-1.786728203E-2
4.714437400E-1,2.000524849E-2,-9.055810422E-2,-1.908897609E-2
4.738204590E-1,1.740914769E-2,-9.162709117E-2,-2.290677279E-2
4.761971780E-1,1.618745178E-2,-8.811471611E-2,-2.290677279E-2
4.785738960E-1,1.252236869E-2,-8.689302206E-2,-2.412846684E-2
4.809506150E-1,1.130067464E-2,-8.933641016E-2,-2.535016090E-2
4.833273860E-1,8.704573847E-3,-8.933641016E-2,-2.550287358E-2
4.857041050E-1,5.039489828E-3,-9.284878522E-2,-2.916795574E-2
4.880808230E-1,1.221694518E-3,-9.529217333E-2,-3.176405653E-2
4.904575420E-1,-3.665083554E-3,-9.651386738E-2,-3.069507517E-2
4.928342610E-1,-7.482878864E-3,-9.529217333E-2,-2.458660305E-2
4.952109800E-1,-1.252236869E-2,-9.529217333E-2,-1.969982497E-2
4.975876980E-1,-1.618745178E-2,-9.162709117E-2,-1.603474095E-2
4.999644170E-1,-2.000524849E-2,-9.284878522E-2,-1.496575773E-2
5.023411360E-1,-2.367033064E-2,-9.284878522E-2,-1.130067464E-2
5.047179070E-1,-2.626643144E-2,-1.012479365E-1,-1.145338640E-2
5.070946250E-1,-2.748812735E-2,-1.061347127E-1,-1.023169141E-2
5.094713440E-1,-2.870982140E-2,-1.120904684E-1,-1.038440317E-2
5.118480630E-1,-3.130592033E-2,-1.168245375E-1,-9.162709117E-3
5.142247820E-1,-3.374931216E-2,-1.180462316E-1,-6.872031838E-3
5.166015000E-1,-3.756710514E-2,-1.217113137E-1,-3.206948051E-3
5.189782190E-1,-3.878879920E-2,-1.192679256E-1,-7.635590737E-4
5.213549380E-1,-4.245388508E-2,-1.204896197E-1,-2.137965523E-3
5.237316570E-1,-4.504998401E-2,-1.180462316E-1,3.054236295E-4
5.261083750E-1,-4.504998401E-2,-1.168245375E-1,1.527118147E-3
5.284851460E-1,-4.123219103E-2,-1.192679256E-1,4.581354442E-4
5.308618650E-1,-3.878879920E-2,-1.180462316E-1,-7.635590737E-4
5.332385840E-1,-3.497100621E-2,-1.180462316E-1,-1.985253533E-3
5.356153030E-1,-3.252761811E-2,-1.156028435E-1,-3.054236295E-3
5.379920210E-1,-2.870982140E-2,-1.145338640E-1,-6.108472589E-4
5.403687400E-1,-2.504473738E-2,-1.096470803E-1,-1.679830020E-3
5.427454590E-1,-2.382304333E-2,-1.073564067E-1,-1.679830020E-3
5.451221780E-1,-2.244863659E-2,-1.049130186E-1,9.162708884E-4
5.474989480E-1,-2.244863659E-2,-1.024696305E-1,-3.054236295E-4
5.498756670E-1,-2.626643144E-2,-1.036913246E-1,7.635590737E-4
5.522523860E-1,-2.748812735E-2,-1.073564067E-1,3.206948051E-3
5.546291050E-1,-2.870982140E-2,-1.096470803E-1,1.985253533E-3
5.570058230E-1,-3.374931216E-2,-1.096470803E-1,5.497625098E-3
5.593825420E-1,-3.374931216E-2,-1.108687744E-1,1.832541777E-3
5.617592610E-1,-3.252761811E-2,-1.073564067E-1,1.832541777E-3
5.641359800E-1,-3.130592033E-2,-1.049130186E-1,-6.108472589E-4
5.665126980E-1,-2.870982140E-2,-1.000262350E-1,-4.123218823E-3
5.688894170E-1,-2.489202656E-2,-9.162709117E-2,-3.970507067E-3
5.712661880E-1,-2.367033064E-2,-8.322793990E-2,-2.596100792E-3
5.736429070E-1,-1.863084175E-2,-7.131642103E-2,-3.665083554E-3
5.760196250E-1,-1.359135192E-2,-6.169557199E-2,-7.177455351E-3
5.783963440E-1,-8.704573847E-3,-5.329642445E-2,-9.468132630E-3
5.807730630E-1,-8.551862091E-3,-4.856235534E-2,-1.068982668E-2
5.831497820E-1,-8.551862091E-3,-4.367557913E-2,-1.068982668E-2
5.855265000E-1,-1.236965694E-2,-4.367557913E-2,-1.313321572E-2
5.879032190E-1,-1.603474095E-2,-4.611896724E-2,-9.620844387E-3
5.902799380E-1,-1.985253580E-2,-4.367557913E-2,-5.955760833E-3
5.926567090E-1,-2.229592577E-2,-3.894151375E-2,-7.177455351E-3
