t,x,y,z
5.389420875E0,9.555138588E0,-2.524427772E-1,2.085345030E0
5.391797646E0,9.564710617E0,-2.620140910E-1,2.080559254E0
5.394174365E0,9.526425362E0,-2.763710022E-1,2.070389748E0
5.396551084E0,9.521639824E0,-2.811566591E-1,2.060818434E0
5.398927803E0,9.535996437E0,-2.667997181E-1,2.061416626E0
5.401304521E0,9.521639824E0,-2.620140910E-1,2.070389748E0
5.403681292E0,9.507282257E0,-2.859423161E-1,2.079961061E0
5.406058011E0,9.516854286E0,-2.811566591E-1,2.070389748E0
5.408434730E0,9.507282257E0,-2.667997181E-1,2.065604210E0
5.410811448E0,9.521639824E0,-2.859423161E-1,2.070389748E0
5.413188167E0,9.525827408E0,-2.763710022E-1,2.094317913E0
5.415564886E0,9.525827408E0,-2.667997181E-1,2.103889227E0
5.417941657E0,9.540184021E0,-2.859423161E-1,2.094317913E0
5.420318375E0,9.545567513E0,-2.907279432E-1,2.085345030E0
5.422695094E0,9.569496155E0,-2.859423161E-1,2.085345030E0
5.425071813E0,9.598209381E0,-2.805584669E-1,2.075773716E0
5.427448532E0,9.602995872E0,-3.188436031E-1,2.056631088E0
5.429825303E0,9.608379364E0,-3.092723191E-1,2.032702923E0
5.432202021E0,9.608379364E0,-3.092723191E-1,2.042274237E0
5.434578740E0,9.617950439E0,-3.092723191E-1,2.013560295E0
5.436955459E0,9.608977318E0,-3.230310678E-1,1.989632010E0
5.439332178E0,9.594620705E0,-3.230310678E-1,1.980060697E0
5.441708896E0,9.580264091E0,-3.188436031E-1,1.970489502E0
5.444085667E0,9.580264091E0,-3.326023519E-1,1.965105653E0
5.446462386E0,9.542576790E0,-3.565305769E-1,1.922034740E0
5.448839105E0,9.547362328E0,-3.373879790E-1,1.912463546E0
5.451215823E0,9.537791252E0,-3.756731451E-1,1.926222205E0
5.453592594E0,9.533005714E0,-3.613162339E-1,1.911865234E0
5.455969313E0,9.533603668E0,-3.852444589E-1,1.887937069E0
5.458346032E0,9.528220177E0,-3.804588020E-1,1.897508383E0
5.460722750E0,9.513862610E0,-3.565305769E-1,1.921436548E0
5.463099469E0,9.504291534E0,-3.708875179E-1,1.902294040E0
5.465476188E0,9.518648148E0,-3.565305769E-1,1.897508383E0
5.467852959E0,9.509077072E0,-3.613162339E-1,1.897508383E0
5.470229678E0,9.509077072E0,-3.565305769E-1,1.887937069E0
5.472606396E0,9.519247055E0,-3.661018610E-1,1.878365755E0
5.474983115E0,9.528220177E0,-3.565305769E-1,1.887937069E0
5.477359834E0,9.523433685E0,-3.661018610E-1,1.902294040E0
5.479736605E0,9.513862610E0,-3.326023519E-1,1.892722726E0
5.482113323E0,9.537791252E0,-3.326023519E-1,1.898106575E0
5.484490042E0,9.547362328E0,-3.182454109E-1,1.907677889E0
5.486866761E0,9.547362328E0,-3.182454109E-1,1.912463546E0
5.489243480E0,9.566504478E0,-2.895315289E-1,1.898704767E0
5.491620198E0,9.585647583E0,-2.799602449E-1,1.889133453E0
5.493996969E0,9.595218658E0,-2.751746178E-1,1.884347796E0
5.496373688E0,9.619147301E0,-2.608176768E-1,1.875374794E0
5.498750407E0,9.619745255E0,-2.512463629E-1,1.861017823E0
5.501127125E0,9.643673897E0,-2.512463629E-1,1.851446509E0
5.503503844E0,9.648459435E0,-2.464607358E-1,1.852044702E0
5.505880615E0,9.653244972E0,-2.273181528E-1,1.842473388E0
5.508257334E0,9.638887405E0,-2.368894368E-1,1.837687731E0
5.510634053E0,9.634101868E0,-2.225325108E-1,1.818545222E0
5.513010771E0,9.648459435E0,-2.129612118E-1,1.818545222E0
5.515387490E0,9.634700775E0,-2.081755698E-1,1.789831281E0
5.517764209E0,9.629914284E0,-1.938186288E-1,1.785045743E0
