"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.297466125E0,9.393565979E0,2.906954956E-1,1.205143890E0
2.307503125E0,9.337283020E0,3.209326172E-1,1.128203888E0
2.317540125E0,9.338929596E0,3.150947571E-1,1.140777740E0
2.327577125E0,9.392518158E0,2.830613708E-1,1.243613892E0
2.337614125E0,9.470206604E0,2.624043274E-1,1.382525024E0
2.347651125E0,9.551936646E0,2.523751831E-1,1.533560944E0
2.357688125E0,9.622589722E0,2.688409424E-1,1.601968689E0
2.367725125E0,9.631271667E0,2.622546387E-1,1.645677795E0
2.377762125E0,9.625134430E0,2.758763123E-1,1.694775696E0
2.387799125E0,9.626182251E0,3.067121887E-1,1.722019043E0
2.397836125E0,9.646539917E0,3.282673645E-1,1.719474335E0
2.407873125E0,9.669292603E0,3.257226562E-1,1.702409821E0
2.417910125E0,9.684111786E0,3.162922668E-1,1.652563477E0
2.427947125E0,9.711953888E0,3.079096985E-1,1.566492462E0
2.437984125E0,9.720785522E0,2.836601257E-1,1.504371643E0
2.448021125E0,9.688602448E0,2.537223816E-1,1.459165649E0
2.458059125E0,9.623188477E0,2.609074402E-1,1.418150940E0
2.468096125E0,9.557026062E0,2.624043274E-1,1.406475220E0
2.478133125E0,9.514664154E0,2.541714478E-1,1.384770355E0
2.488170125E0,9.498647461E0,2.534230042E-1,1.343306580E0
2.498207125E0,9.488468628E0,2.309696960E-1,1.377136230E0
2.508244125E0,9.475445709E0,2.179467773E-1,1.455573120E0
2.518281125E0,9.468410339E0,2.412982178E-1,1.531764679E0
2.528318125E0,9.522597656E0,2.468367004E-1,1.583407288E0
2.538355125E0,9.609716492E0,2.396516418E-1,1.624122620E0
2.548392125E0,9.712253265E0,2.131567383E-1,1.719773712E0
2.558429125E0,9.804012451E0,1.830693054E-1,1.801803131E0
2.568466125E0,9.887089691E0,1.601669312E-1,1.885479126E0
2.578503125E0,9.931547241E0,1.935475159E-1,1.961820374E0
2.588540125E0,9.915231171E0,2.362088013E-1,1.986519012E0
2.598577125E0,9.801617432E0,2.746788025E-1,1.923649750E0
2.608614125E0,9.644743652E0,3.062631226E-1,1.792372742E0
2.618651125E0,9.513167267E0,2.975811768E-1,1.615440674E0
2.628688125E0,9.440568237E0,2.380050659E-1,1.454225922E0
2.638725125E0,9.436826019E0,1.586700439E-1,1.338815918E0
2.648762125E0,9.477241974E0,1.058299255E-1,1.227746887E0
2.658799125E0,9.478439484E0,6.825805664E-2,1.138831787E0
2.668836125E0,9.441466370E0,5.074447632E-2,1.109043732E0
2.678873125E0,9.399403839E0,3.203338623E-2,1.139580231E0
2.688910125E0,9.378447418E0,7.334747314E-3,1.239871674E0
2.698947125E0,9.404343567E0,3.921844482E-2,1.390757904E0
2.708984125E0,9.463021545E0,1.080752563E-1,1.537602539E0
2.719021125E0,9.531129913E0,1.821711731E-1,1.622925110E0
2.729058125E0,9.566007385E0,2.357597351E-1,1.676663361E0
2.739095125E0,9.558373260E0,2.502795410E-1,1.762584686E0
2.749132125E0,9.545500031E0,2.189945984E-1,1.842668152E0
2.759169125E0,9.558672638E0,1.570234680E-1,1.861079865E0
2.769206125E0,9.574839020E0,1.043330383E-1,1.812580719E0
2.779243125E0,9.595046997E0,9.011260986E-2,1.735790405E0
