"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.065424125E0,-5.303653330E-2,1.226010621E-1,7.144118659E-3
1.075461125E0,-4.913976789E-2,1.677525192E-1,1.887251856E-3
1.085498125E0,-4.202885926E-2,2.046303749E-1,2.941330662E-3
1.095535125E0,-3.894702345E-2,2.281002551E-1,5.208691582E-3
1.105572125E0,-3.161028028E-2,2.303634137E-1,2.628355054E-3
1.115609125E0,-2.901662141E-2,2.084092200E-1,-4.370165989E-4
1.125646125E0,-3.442124277E-2,1.565601379E-1,-5.195552949E-3
1.135683125E0,-4.179258645E-2,1.110099703E-1,-1.205044333E-2
1.145720125E0,-4.748269916E-2,7.543333620E-2,-1.452052500E-2
1.155757125E0,-4.818818718E-2,6.169380620E-2,-1.080310438E-2
1.165794125E0,-3.659890592E-2,5.928391218E-2,-4.187279847E-3
1.175831125E0,-1.787832752E-2,6.165672094E-2,1.092021912E-2
1.185869125E0,3.734555561E-3,6.029903889E-2,2.343734354E-2
1.195906125E0,2.037050575E-2,5.785824358E-2,3.192660958E-2
1.205943125E0,3.331905976E-2,6.006014720E-2,3.266856819E-2
1.215980125E0,5.286136270E-2,7.122717053E-2,3.182623163E-2
1.226017125E0,7.278659940E-2,9.259690344E-2,2.130141854E-2
1.236054125E0,9.139411896E-2,1.198672503E-1,9.671585634E-3
1.246091125E0,1.138411015E-1,1.405525506E-1,6.497364957E-3
1.256128125E0,1.309004724E-1,1.604124755E-1,6.731051952E-3
1.266165125E0,1.465066075E-1,1.788759083E-1,8.773962967E-3
1.276202125E0,1.533792764E-1,2.006483972E-1,9.140050039E-3
1.286239125E0,1.516444981E-1,2.176636010E-1,9.321411140E-3
1.296276125E0,1.458847821E-1,2.235917896E-1,7.881676778E-3
1.306313125E0,1.390931904E-1,2.102325708E-1,-1.166714355E-5
1.316350125E0,1.166112572E-1,1.760967821E-1,-2.457143972E-3
1.326387125E0,9.245638549E-2,1.294826716E-1,-2.247819677E-3
1.336424125E0,7.511557639E-2,7.207903266E-2,1.020179363E-3
1.346461125E0,5.000143498E-2,2.278631739E-2,4.595473409E-3
1.356498125E0,1.574266329E-2,-1.660697162E-2,9.941065684E-3
1.366535125E0,-2.339381725E-2,-3.617028520E-2,1.522051543E-2
1.376572125E0,-6.041941792E-2,-3.932822496E-2,2.113707922E-2
1.386609125E0,-9.287828952E-2,-3.498567641E-2,2.562823519E-2
1.396646125E0,-1.152569279E-1,-3.189614043E-2,2.373362705E-2
1.406683125E0,-1.265513897E-1,-2.583931386E-2,1.436409447E-2
1.416720125E0,-1.329598725E-1,-9.842843749E-3,2.731068758E-3
1.426757125E0,-1.318389475E-1,1.901969686E-2,-7.987622172E-3
1.436794125E0,-1.200220287E-1,4.588547349E-2,-1.208505500E-2
1.446831125E0,-1.113031060E-1,6.221091375E-2,-1.646036282E-2
1.456868125E0,-1.069327667E-1,6.621061265E-2,-1.842167601E-2
1.466905125E0,-1.040672064E-1,6.551579386E-2,-2.351683564E-2
1.476942125E0,-1.029490307E-1,5.986174196E-2,-1.767236739E-2
1.486979125E0,-1.040619686E-1,4.099005088E-2,-8.811764419E-3
1.497016125E0,-1.195823029E-1,-7.941043936E-3,1.131235994E-2
1.507053125E0,-1.295585185E-1,-7.156822085E-2,1.546023414E-2
1.517090125E0,-1.427218467E-1,-1.140709743E-1,1.804161072E-2
1.527127125E0,-1.436401159E-1,-1.256674379E-1,2.022540197E-2
1.537164125E0,-1.435363740E-1,-1.125635952E-1,1.512946934E-2
1.547201125E0,-1.380521357E-1,-1.021066904E-1,1.153793000E-2
1.557238125E0,-1.251875460E-1,-8.589815348E-2,7.926665712E-4
1.567275125E0,-1.107255071E-1,-7.186675817E-2,-1.514661871E-2
1.577312125E0,-9.111119062E-2,-6.349945068E-2,-2.417144179E-2
1.587349125E0,-7.576659322E-2,-4.664670303E-2,-2.253519557E-2
1.597386125E0,-6.431898475E-2,-3.140041232E-2,-2.327143960E-2
1.607423125E0,-5.004443601E-2,-3.246514499E-2,-3.370863199E-2
1.617461125E0,-4.133484513E-2,-6.068076193E-2,-3.255027905E-2
1.627498125E0,-4.205736145E-2,-1.023613587E-1,-2.787723020E-2
1.637535125E0,-5.147975683E-2,-1.278926432E-1,-2.229088545E-2
1.647572125E0,-5.349656940E-2,-1.285930425E-1,-2.841509134E-2
1.657609125E0,-5.713253841E-2,-1.184029579E-1,-2.685502544E-2
1.667646125E0,-5.874907598E-2,-9.177001566E-2,-2.831949666E-2
1.677683125E0,-5.892468244E-2,-7.062580436E-2,-2.953617461E-2
1.687720125E0,-5.375841632E-2,-5.684687942E-2,-3.127495199E-2
1.697757125E0,-5.516450480E-2,-5.710767210E-2,-3.445620462E-2
1.707794125E0,-6.169670820E-2,-6.323400885E-2,-3.441013396E-2
1.717831125E0,-6.670492142E-2,-7.864191383E-2,-3.258702904E-2
1.727868125E0,-6.785193831E-2,-9.782865644E-2,-2.659491822E-2
1.737905125E0,-6.496438384E-2,-1.264552027E-1,-2.221443877E-2
1.747942125E0,-6.463068724E-2,-1.490111053E-1,-1.142517477E-2
1.757979125E0,-6.464745849E-2,-1.616878062E-1,-2.549531870E-3
1.768016125E0,-6.054405496E-2,-1.680199951E-1,8.197654970E-3
1.778053125E0,-6.437281519E-2,-1.560811698E-1,1.224966440E-2
1.788090125E0,-6.998622417E-2,-1.344238073E-1,1.784230210E-2
1.798127125E0,-7.430964708E-2,-1.172006428E-1,2.380352840E-2
1.808164125E0,-8.049484342E-2,-1.078915596E-1,2.117338777E-2
1.818201125E0,-7.690056413E-2,-1.057917774E-1,1.763832383E-2
1.828238125E0,-6.604791433E-2,-1.254677474E-1,1.261533611E-2
1.838271125E0,-4.899463058E-2,-1.548378915E-1,1.765376888E-2
1.848308125E0,-4.016252235E-2,-1.795339137E-1,1.299270615E-2
1.858345125E0,-3.592783213E-2,-1.985600740E-1,1.426250115E-2
1.868382125E0,-3.064092249E-2,-2.027494907E-1,8.516997099E-3
1.878419125E0,-3.131255880E-2,-1.965674162E-1,9.049668908E-3
1.888456125E0,-3.010934219E-2,-1.855499148E-1,1.078897901E-2
1.898493125E0,-1.676597819E-2,-1.608778983E-1,7.359078154E-3
1.908530125E0,-7.624412421E-3,-1.304419637E-1,6.589158438E-3
1.918567125E0,6.864414550E-3,-1.117339060E-1,-4.445606843E-3
1.928604125E0,1.260858681E-2,-1.080108061E-1,-7.980420254E-3
1.938641125E0,1.730407216E-2,-1.101394370E-1,-1.112659276E-2
1.948678125E0,2.037123404E-2,-1.069726720E-1,-1.288374700E-2
1.958715125E0,1.116023306E-2,-8.600720018E-2,-8.276280016E-3
1.968752125E0,-1.819038298E-4,-5.742668360E-2,7.744724862E-4
1.978789125E0,-2.077047899E-2,-2.074396051E-2,1.287105493E-2
1.988826125E0,-4.875231162E-2,9.697834030E-3,2.280464582E-2
1.998863125E0,-7.557792962E-2,2.337362245E-2,2.119965479E-2
2.008900125E0,-9.086660296E-2,2.640429884E-2,2.081269771E-2
2.018937125E0,-9.655749053E-2,2.865159512E-2,2.074666694E-2
2.028974125E0,-8.535330743E-2,3.525037318E-2,1.707416773E-2
2.039012125E0,-6.403066963E-2,2.891303413E-2,1.580017991E-2
